t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
8.52 -0.0409256 -0.428234 -0.899348 0.818272 1 0.102838 1.78681 5.46431 3.04142 1.68397
8.56 -0.0321178 -0.384613 -0.943238 0.689245 1 0.0744457 1.49981 5.20181 3.40993 1.42537
8.6 -0.024715 -0.341109 -0.973783 0.545913 1 0.0523547 1.24032 4.89812 3.75667 1.18797
8.64 -0.0185923 -0.298495 -0.990717 0.389267 1 0.0355211 1.00899 4.56038 4.07564 0.97347
8.68 -0.0136173 -0.257462 -0.994048 0.220533 1 0.0230011 0.805807 4.19615 4.36104 0.782806
8.72 -0.00965435 -0.218606 -0.984061 0.0411643 1 0.0139554 0.630148 3.81325 4.60742 0.616193
8.76 -0.00656838 -0.18242 -0.961315 -0.147179 1 0.00764959 0.480867 3.41956 4.80975 0.473217
8.8 -0.00422819 -0.149287 -0.926629 -0.342645 1 0.00345294 0.356372 3.02284 4.96354 0.352919
8.84 -0.00250929 -0.119482 -0.88107 -0.543214 1 0.000834071 0.254719 2.63054 5.06494 0.253884
8.88 -0.00129625 -0.0931677 -0.825926 -0.74673 1 -0.000645153 0.173699 2.2496 5.11082 0.174344
8.92 -0.000484359 -0.0704025 -0.762679 -0.950923 1 -0.00133728 0.110934 1.88633 5.09882 0.112271
8.96 1.91511e-05 -0.0511462 -0.692976 -1.15345 1 -0.00151811 0.0639603 1.54624 5.02746 0.0654784
9 0.000294458 -0.0352698 -0.618589 -1.35192 1 -0.00139621 0.0303142 1.23392 4.89615 0.0317104
9.04 0.000409003 -0.0225672 -0.541381 -1.54395 1 -0.00112277 0.00760382 0.952965 4.7052 0.00872659
9.08 0.000417792 -0.0127687 -0.463258 -1.72717 1 -0.000801394 -0.00642521 0.705869 4.45589 -0.00562381
9.12 0.000364073 -0.00555632 -0.386134 -1.89929 1 -0.000497481 -0.0138376 0.494013 4.15041 -0.0133401
9.16 0.000280336 -0.000579462 -0.311881 -2.05814 1 -0.000246998 -0.0164679 0.317639 3.79187 -0.0162209
9.2 0.000189547 0.002529 -0.242293 -2.20166 1 -6.43535e-05 -0.0158939 0.175872 3.38425 -0.0158295
