t 1 2 3 4 5 6 7 jK0406 jL0406
2.49e-05 0.770086 10 -2.44966e-09 179.113 180 0.113935 -17.8999 -0.000369779 0.887027
2.5e-05 0.770185 10 -2.45941e-09 179.109 180 0.114128 -17.8995 -0.000384606 0.890607
2.51e-05 0.770283 10 -2.46916e-09 179.106 180 0.114322 -17.8992 -0.000370371 0.894187
2.52e-05 0.770381 10 -2.47892e-09 179.102 180 0.114515 -17.8988 -0.000383999 0.897766
2.53e-05 0.770478 10 -2.48867e-09 179.099 180 0.114709 -17.8984 -0.000370916 0.901346
2.54e-05 0.770575 10 -2.49842e-09 179.095 180 0.114902 -17.898 -0.000383441 0.904926
2.55e-05 0.770672 10 -2.50817e-09 179.092 180 0.115096 -17.8976 -0.000371417 0.908505
2.56e-05 0.770769 10 -2.51792e-09 179.088 180 0.115289 -17.8973 -0.00038293 0.912085
2.57e-05 0.770865 10 -2.52767e-09 179.084 180 0.115483 -17.8969 -0.000371879 0.915664
2.58e-05 0.77096 10 -2.53741e-09 179.081 180 0.115676 -17.8965 -0.000382461 0.919244
2.59e-05 0.771055 10 -2.54716e-09 179.077 180 0.11587 -17.8961 -0.000372304 0.922823
2.6e-05 0.77115 10 -2.5569e-09 179.074 180 0.116063 -17.8958 -0.000382031 0.926402
2.61e-05 0.771245 10 -2.56665e-09 179.07 180 0.116257 -17.8954 -0.000372697 0.929981
2.62e-05 0.771339 10 -2.57639e-09 179.066 180 0.11645 -17.895 -0.000381638 0.93356
2.63e-05 0.771433 10 -2.58613e-09 179.063 180 0.116644 -17.8946 -0.000373059 0.937139
2.64e-05 0.771526 10 -2.59587e-09 179.059 180 0.116838 -17.8942 -0.000381278 0.940718
